Unit;CPT01;
org.apache.cassandra.auth.AllowAllAuthenticator;X;
org.apache.cassandra.auth.AllowAllAuthority;X;
org.apache.cassandra.auth.AuthenticatedUser;X;
org.apache.cassandra.auth.IAuthenticator;X;
org.apache.cassandra.auth.IAuthority;X;
org.apache.cassandra.auth.Resources;X;
org.apache.cassandra.cache.AutoSavingCache;X;
org.apache.cassandra.cache.AutoSavingCache$Writer;X;
org.apache.cassandra.cache.AutoSavingKeyCache;X;
org.apache.cassandra.cache.AutoSavingRowCache;X;
org.apache.cassandra.cache.ConcurrentLinkedHashCache;X;
org.apache.cassandra.cache.ConcurrentLinkedHashCacheProvider;X;
org.apache.cassandra.cache.FreeableMemory;X;
org.apache.cassandra.cache.ICache;X;
org.apache.cassandra.cache.IRowCacheProvider;X;
org.apache.cassandra.cache.InstrumentingCache;X;
org.apache.cassandra.cache.InstrumentingCacheMBean;X;
org.apache.cassandra.cache.SerializingCache;X;
org.apache.cassandra.cache.SerializingCacheProvider;X;
org.apache.cassandra.cli.CliClient;X;
org.apache.cassandra.cli.CliClient$CfDefNamesComparator;X;
org.apache.cassandra.cli.CliClient$KsDefNamesComparator;X;
org.apache.cassandra.cli.CliCommandHelp;X;
org.apache.cassandra.cli.CliCompiler;X;
org.apache.cassandra.cli.CliCompiler$ANTLRNoCaseStringStream;X;
org.apache.cassandra.cli.CliCompleter;X;
org.apache.cassandra.cli.CliMain;X;
org.apache.cassandra.cli.CliOptions;X;
org.apache.cassandra.cli.CliOptions$CLIOptions;X;
org.apache.cassandra.cli.CliSessionState;X;
org.apache.cassandra.cli.CliUserHelp;X;
org.apache.cassandra.cli.CliUtils;X;
org.apache.cassandra.client.RingCache;X;
org.apache.cassandra.concurrent.Context;X;
org.apache.cassandra.concurrent.CreationTimeAwareFuture;X;
org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor;X;
org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor;X;
org.apache.cassandra.concurrent.IExecutorMBean;X;
org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutor;X;
org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutorMBean;X;
org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutor;X;
org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutorMBean;X;
org.apache.cassandra.concurrent.NamedThreadFactory;X;
org.apache.cassandra.concurrent.StageManager;X;
org.apache.cassandra.config.CFMetaData;X;
org.apache.cassandra.config.ColumnDefinition;X;
org.apache.cassandra.config.Config;X;
org.apache.cassandra.config.ConfigurationException;X;
org.apache.cassandra.config.DatabaseDescriptor;X;
org.apache.cassandra.config.EncryptionOptions;X;
org.apache.cassandra.config.KSMetaData;X;
org.apache.cassandra.config.ReplicationStrategy;X;
org.apache.cassandra.config.RequestSchedulerOptions;X;
org.apache.cassandra.config.Schema;X;
org.apache.cassandra.config.SeedProviderDef;X;
org.apache.cassandra.cql.AbstractModification;X;
org.apache.cassandra.cql.AlterTableStatement;X;
org.apache.cassandra.cql.Attributes;X;
org.apache.cassandra.cql.BatchStatement;X;
org.apache.cassandra.cql.CQLStatement;X;
org.apache.cassandra.cql.CreateColumnFamilyStatement;X;
org.apache.cassandra.cql.CreateIndexStatement;X;
org.apache.cassandra.cql.CreateKeyspaceStatement;X;
org.apache.cassandra.cql.DeleteStatement;X;
org.apache.cassandra.cql.DropIndexStatement;X;
org.apache.cassandra.cql.Operation;X;
org.apache.cassandra.cql.QueryProcessor;X;
org.apache.cassandra.cql.Relation;X;
org.apache.cassandra.cql.SelectExpression;X;
org.apache.cassandra.cql.SelectStatement;X;
org.apache.cassandra.cql.Term;X;
org.apache.cassandra.cql.UpdateStatement;X;
org.apache.cassandra.cql.WhereClause;X;
org.apache.cassandra.cql.jdbc.AbstractJdbcType;X;
org.apache.cassandra.cql.jdbc.AbstractJdbcUUID;X;
org.apache.cassandra.cql.jdbc.JdbcAscii;X;
org.apache.cassandra.cql.jdbc.JdbcBoolean;X;
org.apache.cassandra.cql.jdbc.JdbcBytes;X;
org.apache.cassandra.cql.jdbc.JdbcCounterColumn;X;
org.apache.cassandra.cql.jdbc.JdbcDate;X;
org.apache.cassandra.cql.jdbc.JdbcDecimal;X;
org.apache.cassandra.cql.jdbc.JdbcDouble;X;
org.apache.cassandra.cql.jdbc.JdbcFloat;X;
org.apache.cassandra.cql.jdbc.JdbcInt32;X;
org.apache.cassandra.cql.jdbc.JdbcInteger;X;
org.apache.cassandra.cql.jdbc.JdbcLexicalUUID;X;
org.apache.cassandra.cql.jdbc.JdbcLong;X;
org.apache.cassandra.cql.jdbc.JdbcTimeUUID;X;
org.apache.cassandra.cql.jdbc.JdbcUTF8;X;
org.apache.cassandra.cql.jdbc.JdbcUUID;X;
org.apache.cassandra.cql.jdbc.MarshalException;X;
org.apache.cassandra.cql.jdbc.TypesMap;X;
org.apache.cassandra.db.AbstractColumnContainer;X;
org.apache.cassandra.db.AbstractColumnContainer$DeletionInfo;X;
org.apache.cassandra.db.ArrayBackedSortedColumns;X;
org.apache.cassandra.db.ArrayBackedSortedColumns$ColumnNamesSet;X;
org.apache.cassandra.db.ArrayBackedSortedColumns$ForwardSortedCollection;X;
org.apache.cassandra.db.ArrayBackedSortedColumns$ReverseSortedCollection;X;
org.apache.cassandra.db.CollationController;X;
org.apache.cassandra.db.Column;X;
org.apache.cassandra.db.ColumnFamily;X;
org.apache.cassandra.db.ColumnFamilyNotDefinedException;X;
org.apache.cassandra.db.ColumnFamilySerializer;X;
org.apache.cassandra.db.ColumnFamilyStore;X;
org.apache.cassandra.db.ColumnFamilyStore$ViewFragment;X;
org.apache.cassandra.db.ColumnFamilyStoreMBean;X;
org.apache.cassandra.db.ColumnIndexer;X;
org.apache.cassandra.db.ColumnIndexer$RowHeader;X;
org.apache.cassandra.db.ColumnSerializer;X;
org.apache.cassandra.db.ColumnSerializer$CorruptColumnException;X;
org.apache.cassandra.db.CounterColumn;X;
org.apache.cassandra.db.CounterMutation;X;
org.apache.cassandra.db.CounterMutationSerializer;X;
org.apache.cassandra.db.CounterMutationVerbHandler;X;
org.apache.cassandra.db.CounterUpdateColumn;X;
org.apache.cassandra.db.DBConstants;X;
org.apache.cassandra.db.DataTracker;X;
org.apache.cassandra.db.DataTracker$View;X;
org.apache.cassandra.db.DecoratedKey;X;
org.apache.cassandra.db.DefinitionsUpdateVerbHandler;X;
org.apache.cassandra.db.DefsTable;X;
org.apache.cassandra.db.DeletedColumn;X;
org.apache.cassandra.db.EchoedRow;X;
org.apache.cassandra.db.ExpiringColumn;X;
org.apache.cassandra.db.HintedHandOffManager;X;
org.apache.cassandra.db.HintedHandOffManagerMBean;X;
org.apache.cassandra.db.IColumn;X;
org.apache.cassandra.db.IColumnContainer;X;
org.apache.cassandra.db.IMutation;X;
org.apache.cassandra.db.ISortedColumns;X;
org.apache.cassandra.db.ISortedColumns$Factory;X;
org.apache.cassandra.db.IndexScanCommand;X;
org.apache.cassandra.db.IndexScanCommand$IndexScanCommandSerializer;X;
org.apache.cassandra.db.KeyspaceNotDefinedException;X;
org.apache.cassandra.db.Memtable;X;
org.apache.cassandra.db.MeteredFlusher;X;
org.apache.cassandra.db.RangeSliceCommand;X;
org.apache.cassandra.db.RangeSliceCommandSerializer;X;
org.apache.cassandra.db.RangeSliceReply;X;
org.apache.cassandra.db.ReadCommand;X;
org.apache.cassandra.db.ReadCommandSerializer;X;
org.apache.cassandra.db.ReadRepairVerbHandler;X;
org.apache.cassandra.db.ReadResponse;X;
org.apache.cassandra.db.ReadResponseSerializer;X;
org.apache.cassandra.db.ReadVerbHandler;X;
org.apache.cassandra.db.Row;X;
org.apache.cassandra.db.Row$RowSerializer;X;
org.apache.cassandra.db.RowIteratorFactory;X;
org.apache.cassandra.db.RowIteratorFactory$ConvertToColumnIterator;X;
org.apache.cassandra.db.RowMutation;X;
org.apache.cassandra.db.RowMutation$RowMutationSerializer;X;
org.apache.cassandra.db.RowMutationVerbHandler;X;
org.apache.cassandra.db.SchemaCheckVerbHandler;X;
org.apache.cassandra.db.SliceByNamesReadCommand;X;
org.apache.cassandra.db.SliceByNamesReadCommandSerializer;X;
org.apache.cassandra.db.SliceFromReadCommand;X;
org.apache.cassandra.db.SliceFromReadCommandSerializer;X;
org.apache.cassandra.db.SuperColumn;X;
org.apache.cassandra.db.SuperColumnSerializer;X;
org.apache.cassandra.db.SystemTable;X;
org.apache.cassandra.db.Table;X;
org.apache.cassandra.db.ThreadSafeSortedColumns;X;
org.apache.cassandra.db.TreeMapBackedSortedColumns;X;
org.apache.cassandra.db.TruncateResponse;X;
org.apache.cassandra.db.TruncateResponse$TruncateResponseSerializer;X;
org.apache.cassandra.db.TruncateVerbHandler;X;
org.apache.cassandra.db.Truncation;X;
org.apache.cassandra.db.TruncationSerializer;X;
org.apache.cassandra.db.UnserializableColumnFamilyException;X;
org.apache.cassandra.db.WriteResponse;X;
org.apache.cassandra.db.WriteResponse$WriteResponseSerializer;X;
org.apache.cassandra.db.columniterator.IColumnIterator;X;
org.apache.cassandra.db.columniterator.ICountableColumnIterator;X;
org.apache.cassandra.db.columniterator.IdentityQueryFilter;X;
org.apache.cassandra.db.columniterator.IndexedSliceReader;X;
org.apache.cassandra.db.columniterator.IndexedSliceReader$BlockFetcher;X;
org.apache.cassandra.db.columniterator.IndexedSliceReader$IndexedBlockFetcher;X;
org.apache.cassandra.db.columniterator.IndexedSliceReader$SimpleBlockFetcher;X;
org.apache.cassandra.db.columniterator.SSTableNamesIterator;X;
org.apache.cassandra.db.columniterator.SSTableSliceIterator;X;
org.apache.cassandra.db.columniterator.SimpleAbstractColumnIterator;X;
org.apache.cassandra.db.columniterator.SimpleSliceReader;X;
org.apache.cassandra.db.commitlog.AbstractCommitLogExecutorService;X;
org.apache.cassandra.db.commitlog.BatchCommitLogExecutorService;X;
org.apache.cassandra.db.commitlog.BatchCommitLogExecutorService$CheaterFutureTask;X;
org.apache.cassandra.db.commitlog.CommitLog;X;
org.apache.cassandra.db.commitlog.CommitLog$LogRecordAdder;X;
org.apache.cassandra.db.commitlog.CommitLogMBean;X;
org.apache.cassandra.db.commitlog.CommitLogSegment;X;
org.apache.cassandra.db.commitlog.ICommitLogExecutorService;X;
org.apache.cassandra.db.commitlog.PeriodicCommitLogExecutorService;X;
org.apache.cassandra.db.commitlog.ReplayPosition;X;
org.apache.cassandra.db.commitlog.ReplayPosition$ReplayPositionSerializer;X;
org.apache.cassandra.db.compaction.AbstractCompactedRow;X;
org.apache.cassandra.db.compaction.AbstractCompactionIterable;X;
org.apache.cassandra.db.compaction.AbstractCompactionStrategy;X;
org.apache.cassandra.db.compaction.AbstractCompactionTask;X;
org.apache.cassandra.db.compaction.CompactionController;X;
org.apache.cassandra.db.compaction.CompactionInfo;X;
org.apache.cassandra.db.compaction.CompactionInfo$Holder;X;
org.apache.cassandra.db.compaction.CompactionIterable;X;
org.apache.cassandra.db.compaction.CompactionIterable$Reducer;X;
org.apache.cassandra.db.compaction.CompactionManager;X;
org.apache.cassandra.db.compaction.CompactionManager$CleanupInfo;X;
org.apache.cassandra.db.compaction.CompactionManager$CompactionExecutor;X;
org.apache.cassandra.db.compaction.CompactionManager$CompactionExecutorStatsCollector;X;
org.apache.cassandra.db.compaction.CompactionManager$ScrubInfo;X;
org.apache.cassandra.db.compaction.CompactionManager$SimpleFuture;X;
org.apache.cassandra.db.compaction.CompactionManager$ValidationCompactionIterable;X;
org.apache.cassandra.db.compaction.CompactionManager$ValidationExecutor;X;
org.apache.cassandra.db.compaction.CompactionManagerMBean;X;
org.apache.cassandra.db.compaction.CompactionTask;X;
org.apache.cassandra.db.compaction.LazilyCompactedRow;X;
org.apache.cassandra.db.compaction.LazilyCompactedRow$Reducer;X;
org.apache.cassandra.db.compaction.LeveledCompactionStrategy;X;
org.apache.cassandra.db.compaction.LeveledCompactionTask;X;
org.apache.cassandra.db.compaction.LeveledManifest;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$CompactedRowContainer;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Deserializer;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$NotifyingSSTableIdentityIterator;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Reducer;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Reducer$DeserializedColumnIterator;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Reducer$MergeTask;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$RowContainer;X;
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Unwrapper;X;
org.apache.cassandra.db.compaction.PrecompactedRow;X;
org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy;X;
org.apache.cassandra.db.context.CounterContext;X;
org.apache.cassandra.db.context.CounterContext$ContextState;X;
org.apache.cassandra.db.context.CounterContext$LazyHolder;X;
org.apache.cassandra.db.context.IContext;X;
