Unit;ADR13;ADR14;ADR15;ADR16;Ocurrences;Class DeF
org.apache.cassandra.auth.AllowAllAuthenticator;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.AllowAllAuthority;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.auth.AuthenticatedUser;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.auth.Resources;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cache.AutoSavingCache;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.AutoSavingCache$Writer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.AutoSavingKeyCache;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cache.AutoSavingRowCache;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cache.ConcurrentLinkedHashCache;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cache.ConcurrentLinkedHashCacheProvider;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cache.FreeableMemory;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.InstrumentingCache;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cache.SerializingCache;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cache.SerializingCacheProvider;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cli.CliClient;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.cli.CliClient$CfDefNamesComparator;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cli.CliClient$KsDefNamesComparator;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cli.CliCommandHelp;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cli.CliCompiler;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cli.CliCompiler$ANTLRNoCaseStringStream;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cli.CliCompleter;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cli.CliMain;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cli.CliOptions;1.0;0.0;0.0;1.0;2.0;0.5
org.apache.cassandra.cli.CliOptions$CLIOptions;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cli.CliSessionState;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cli.CliUserHelp;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cli.CliUtils;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.client.RingCache;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.concurrent.Context;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.concurrent.CreationTimeAwareFuture;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutor;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutor;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.concurrent.NamedThreadFactory;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.concurrent.StageManager;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.config.Config;1.0;0.0;0.0;1.0;2.0;0.5
org.apache.cassandra.config.ConfigurationException;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.config.DatabaseDescriptor;1.0;1.0;0.0;0.0;2.0;0.5
org.apache.cassandra.config.KSMetaData;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.config.ReplicationStrategy;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.config.RequestSchedulerOptions;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.config.Schema;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.config.SeedProviderDef;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cql.AbstractModification;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cql.AlterTableStatement;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cql.Attributes;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cql.BatchStatement;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cql.CQLStatement;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cql.CreateColumnFamilyStatement;1.0;0.0;0.0;0.0;1.0;0.25
org.apache.cassandra.cql.CreateIndexStatement;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cql.CreateKeyspaceStatement;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cql.DeleteStatement;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cql.DropIndexStatement;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cql.Operation;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cql.QueryProcessor;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.cql.Relation;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cql.SelectExpression;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.SelectStatement;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.Term;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cql.UpdateStatement;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.WhereClause;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.jdbc.AbstractJdbcType;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.jdbc.AbstractJdbcUUID;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cql.jdbc.JdbcAscii;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.jdbc.JdbcBoolean;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.jdbc.JdbcBytes;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.jdbc.JdbcCounterColumn;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cql.jdbc.JdbcDate;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.jdbc.JdbcDecimal;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.jdbc.JdbcDouble;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.jdbc.JdbcFloat;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.jdbc.JdbcInt32;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.jdbc.JdbcInteger;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.jdbc.JdbcLexicalUUID;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cql.jdbc.JdbcLong;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.jdbc.JdbcTimeUUID;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cql.jdbc.JdbcUTF8;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cql.jdbc.JdbcUUID;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cql.jdbc.MarshalException;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cql.jdbc.TypesMap;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.AbstractColumnContainer;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.AbstractColumnContainer$DeletionInfo;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.ArrayBackedSortedColumns;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.db.ArrayBackedSortedColumns$ColumnNamesSet;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.ArrayBackedSortedColumns$ForwardSortedCollection;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.ArrayBackedSortedColumns$ReverseSortedCollection;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.CollationController;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.Column;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.ColumnFamily;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.db.ColumnFamilyNotDefinedException;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.ColumnFamilySerializer;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.ColumnFamilyStore;1.0;1.0;0.0;0.0;2.0;0.5
org.apache.cassandra.db.ColumnFamilyStore$ViewFragment;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.ColumnIndexer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.ColumnIndexer$RowHeader;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.ColumnSerializer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.ColumnSerializer$CorruptColumnException;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.CounterColumn;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.db.CounterMutation;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.CounterMutationSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.CounterMutationVerbHandler;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.CounterUpdateColumn;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.DBConstants;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.DataTracker;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.db.DataTracker$View;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.DefinitionsUpdateVerbHandler;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.DefsTable;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.DeletedColumn;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.EchoedRow;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.ExpiringColumn;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.HintedHandOffManager;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.IndexScanCommand;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.IndexScanCommand$IndexScanCommandSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.KeyspaceNotDefinedException;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.Memtable;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.MeteredFlusher;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.RangeSliceCommand;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.RangeSliceCommandSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.RangeSliceReply;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.ReadCommand;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.ReadCommandSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.ReadRepairVerbHandler;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.ReadResponse;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.ReadResponseSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.ReadVerbHandler;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.Row;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.Row$RowSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.RowIteratorFactory;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.RowIteratorFactory$ConvertToColumnIterator;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.RowMutation;1.0;1.0;1.0;0.0;3.0;0.75
