Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.cassandra.db.marshal.InetAddressType;39.0;0.0;14.0;2.0;9.0;6.0;6.0;0.75;1.0;1.0;1.0;4.0;4.0;6.0;5.0;23.0;10.0;17.0;2.0;1.0;1.0;0.0;4.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.hadoop.ColumnFamilyRecordWriter$RangeClient;89.0;0.0;39.0;3.0;18.0;14.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;21.0;0.0;0.0;15.0;72.0;0.0;7.0;16.0;0.0;13.0;0.0;9.0;4.0;0.0;0.0;2.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0
org.apache.cassandra.io.compress.CompressionMetadata;379.0;0.0;51.0;1.0;23.0;11.0;12.0;0.6857142857142857;0.7999999999999999;5.0;4.0;7.0;6.0;76.0;26.0;62.0;34.0;26.0;1.0;92.0;13.0;3.0;45.0;2.0;11.0;19.0;5.0;0.0;4.0;13.0;0.0;11.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0
org.apache.cassandra.transport.messages.AuthChallenge;36.0;0.0;15.0;3.0;3.0;2.0;1.0;0.5;1.0;2.0;1.0;2.0;2.0;7.0;3.0;15.0;6.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.config.Schema;400.0;0.0;47.0;1.0;72.0;34.0;337.0;0.9166666666666666;0.9506172839506173;9.0;4.0;28.0;28.0;72.0;93.0;66.0;62.0;20.0;3.0;14.0;3.0;0.0;17.0;0.0;3.0;8.0;3.0;0.0;3.0;6.0;0.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.SuperColumns$SCFilter;9.0;0.0;5.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.UpdateStatement;191.0;0.0;46.0;2.0;18.0;13.0;1.0;0.5;1.0;1.0;0.0;2.0;1.0;54.0;6.0;54.0;39.0;52.0;3.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;1.0;1.0;0.0;9.0;1.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.tools.BulkLoader$ExternalClient;81.0;0.0;46.0;2.0;24.0;10.0;2.0;0.6;0.9;5.0;0.0;3.0;2.0;26.0;2.0;14.0;13.0;40.0;4.0;27.0;2.0;0.0;9.0;0.0;2.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.service.DatacenterSyncWriteResponseHandler;62.0;0.0;20.0;2.0;11.0;5.0;2.0;0.6666666666666667;1.0;4.0;0.0;3.0;2.0;18.0;2.0;21.0;10.0;16.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.DropTriggerStatement;34.0;0.0;22.0;4.0;14.0;2.0;6.0;0.75;1.0;2.0;0.0;4.0;4.0;16.0;1.0;26.0;6.0;6.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;4.0;0.0;1.0;5.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
org.apache.cassandra.db.filter.ExtendedFilter$WithClauses;187.0;0.0;41.0;2.0;44.0;46.0;14.0;0.5625;0.6428571428571429;2.0;0.0;8.0;5.0;54.0;0.0;0.0;54.0;37.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.ModificationStatement$Parsed;84.0;4.0;27.0;3.0;21.0;18.0;3.0;0.6666666666666667;1.0;3.0;0.0;3.0;2.0;26.0;12.0;32.0;21.0;60.0;3.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;1.0;1.0;0.0;5.0;3.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.DropTableStatement;36.0;0.0;15.0;4.0;8.0;2.0;6.0;0.75;1.0;1.0;0.0;4.0;4.0;7.0;1.0;26.0;6.0;10.0;1.0;1.0;2.0;0.0;6.0;0.0;2.0;1.0;1.0;3.0;1.0;1.0;3.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
org.apache.cassandra.thrift.ThriftValidation;598.0;0.0;74.0;1.0;100.0;136.0;271.0;0.9615384615384616;1.0;1.0;0.0;26.0;20.0;162.0;21.0;67.0;162.0;58.0;3.0;9.0;19.0;0.0;93.0;0.0;7.0;7.0;2.0;2.0;1.0;57.0;22.0;6.0;33.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0
org.apache.cassandra.thrift.ThriftConversion;64.0;0.0;20.0;1.0;12.0;32.0;0.0;1.0;0.0;0.0;0.0;7.0;7.0;9.0;2.0;104.0;39.0;14.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;3.0;2.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy;221.0;0.0;57.0;2.0;57.0;49.0;50.0;0.8611111111111112;0.9393939393939394;3.0;0.0;12.0;10.0;78.0;5.0;55.0;61.0;45.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.utils.CounterId$LocalIds;2.0;0.0;4.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.CFDefinition$NonCompositeBuilder;65.0;0.0;15.0;1.0;11.0;14.0;15.0;0.5555555555555556;0.625;2.0;0.0;9.0;9.0;3.0;0.0;0.0;23.0;6.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.utils.UUIDGen;292.0;0.0;21.0;1.0;44.0;31.0;186.0;0.873015873015873;0.9166666666666666;6.0;0.0;21.0;12.0;41.0;50.0;29.0;53.0;26.0;2.0;5.0;1.0;0.0;9.0;0.0;1.0;3.0;2.0;0.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.gms.GossipDigestAckSerializer;37.0;0.0;24.0;1.0;19.0;5.0;0.0;1.0;0.0;0.0;0.0;3.0;3.0;22.0;2.0;23.0;8.0;12.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.compaction.LazilyCompactedRow;217.0;0.0;59.0;2.0;29.0;9.0;7.0;0.7166666666666667;0.86;10.0;0.0;6.0;6.0;72.0;0.0;0.0;36.0;38.0;2.0;13.0;3.0;0.0;13.0;0.0;3.0;6.0;2.0;1.0;1.0;3.0;1.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
org.apache.cassandra.locator.AbstractNetworkTopologySnitch;39.0;6.0;6.0;2.0;6.0;19.0;0.0;1.0;0.0;0.0;0.0;3.0;3.0;19.0;7.0;6.0;22.0;22.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.metrics.ColumnFamilyMetrics;331.0;0.0;57.0;1.0;8.0;0.0;1.0;0.8846153846153846;1.7692307692307692;26.0;25.0;2.0;2.0;176.0;0.0;0.0;45.0;24.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
