Rule Id;Violation Kind;Violating Unit;Violation Label;First Unit;Second Unit
ADR16;DRIFT;org.apache.cassandra.db.marshal.InetAddressType;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.hadoop.ColumnFamilyRecordWriter$RangeClient;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.io.compress.CompressionMetadata;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.transport.messages.AuthChallenge;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.tools.NodeTool$CfStats;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.sink.SinkManager;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.cql3.statements.UpdateStatement;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.db.compaction.CompactionManager$CleanupStrategy;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.tools.BulkLoader$ExternalClient;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.service.DatacenterSyncWriteResponseHandler;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.cql3.statements.DropTriggerStatement;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.tools.NodeTool$CompactionStats;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.db.filter.ExtendedFilter$WithClauses;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.utils.concurrent.SimpleCondition;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.cql3.statements.ModificationStatement$Parsed;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.db.NativeDecoratedKey;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.io.sstable.CQLSSTableWriter$Builder;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.repair.messages.SnapshotMessage;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.cql3.statements.DropTableStatement;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.hadoop.cql3.CqlRecordReader$RowIterator;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.utils.memory.MemtableBufferAllocator;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.hadoop.pig.CqlNativeStorage;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.thrift.ThriftConversion;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.gms.GossipDigestAckSerializer;NoM > 10;none;none
ADR16;DRIFT;org.apache.cassandra.db.compaction.LazilyCompactedRow;NoM > 10;none;none
