Unit;CPT01;
org.apache.cassandra.auth.AllowAllAuthenticator;X;
org.apache.cassandra.auth.AllowAllAuthenticator$Negotiator;X;
org.apache.cassandra.auth.AllowAllAuthorizer;X;
org.apache.cassandra.auth.AllowAllInternodeAuthenticator;X;
org.apache.cassandra.auth.AuthCache;X;
org.apache.cassandra.auth.AuthCacheMBean;X;
org.apache.cassandra.auth.AuthConfig;X;
org.apache.cassandra.auth.AuthKeyspace;X;
org.apache.cassandra.auth.AuthMigrationListener;X;
org.apache.cassandra.auth.AuthenticatedUser;X;
org.apache.cassandra.auth.CassandraAuthorizer;X;
org.apache.cassandra.auth.CassandraLoginModule;X;
org.apache.cassandra.auth.CassandraPrincipal;X;
org.apache.cassandra.auth.CassandraRoleManager;X;
org.apache.cassandra.auth.CassandraRoleManager$Role;X;
org.apache.cassandra.auth.DataResource;X;
org.apache.cassandra.auth.FunctionResource;X;
org.apache.cassandra.auth.IAuthenticator;X;
org.apache.cassandra.auth.IAuthenticator$SaslNegotiator;X;
org.apache.cassandra.auth.IAuthorizer;X;
org.apache.cassandra.auth.IInternodeAuthenticator;X;
org.apache.cassandra.auth.IResource;X;
org.apache.cassandra.auth.IRoleManager;X;
org.apache.cassandra.auth.JMXResource;X;
org.apache.cassandra.auth.PasswordAuthenticator;X;
org.apache.cassandra.auth.PasswordAuthenticator$CredentialsCache;X;
org.apache.cassandra.auth.PasswordAuthenticator$CredentialsCacheMBean;X;
org.apache.cassandra.auth.PasswordAuthenticator$NoSuchCredentialsException;X;
org.apache.cassandra.auth.PasswordAuthenticator$PlainTextSaslAuthenticator;X;
org.apache.cassandra.auth.PermissionDetails;X;
org.apache.cassandra.auth.PermissionsCache;X;
org.apache.cassandra.auth.PermissionsCacheMBean;X;
org.apache.cassandra.auth.Resources;X;
org.apache.cassandra.auth.RoleOptions;X;
org.apache.cassandra.auth.RoleResource;X;
org.apache.cassandra.auth.Roles;X;
org.apache.cassandra.auth.RolesCache;X;
org.apache.cassandra.auth.RolesCacheMBean;X;
org.apache.cassandra.auth.jmx.AuthenticationProxy;X;
org.apache.cassandra.auth.jmx.AuthenticationProxy$JMXCallbackHandler;X;
org.apache.cassandra.auth.jmx.AuthorizationProxy;X;
org.apache.cassandra.auth.jmx.AuthorizationProxy$JMXPermissionsCache;X;
org.apache.cassandra.batchlog.Batch;X;
org.apache.cassandra.batchlog.Batch$Serializer;X;
org.apache.cassandra.batchlog.BatchRemoveVerbHandler;X;
org.apache.cassandra.batchlog.BatchStoreVerbHandler;X;
org.apache.cassandra.batchlog.BatchlogManager;X;
org.apache.cassandra.batchlog.BatchlogManager$EndpointFilter;X;
org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch;X;
org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch$ReplayWriteResponseHandler;X;
org.apache.cassandra.batchlog.BatchlogManagerMBean;X;
org.apache.cassandra.batchlog.LegacyBatchlogMigrator;X;
org.apache.cassandra.cache.AutoSavingCache;X;
org.apache.cassandra.cache.AutoSavingCache$CacheSerializer;X;
org.apache.cassandra.cache.AutoSavingCache$IStreamFactory;X;
org.apache.cassandra.cache.AutoSavingCache$Writer;X;
org.apache.cassandra.cache.CacheKey;X;
org.apache.cassandra.cache.CacheProvider;X;
org.apache.cassandra.cache.CacheSize;X;
org.apache.cassandra.cache.ChunkCache;X;
org.apache.cassandra.cache.ChunkCache$Buffer;X;
org.apache.cassandra.cache.ChunkCache$CachingRebufferer;X;
org.apache.cassandra.cache.ChunkCache$Key;X;
org.apache.cassandra.cache.ConcurrentLinkedHashCache;X;
org.apache.cassandra.cache.CounterCacheKey;X;
org.apache.cassandra.cache.ICache;X;
org.apache.cassandra.cache.IMeasurableMemory;X;
org.apache.cassandra.cache.IRowCacheEntry;X;
org.apache.cassandra.cache.InstrumentingCache;X;
org.apache.cassandra.cache.KeyCacheKey;X;
org.apache.cassandra.cache.NopCacheProvider;X;
org.apache.cassandra.cache.NopCacheProvider$NopCache;X;
org.apache.cassandra.cache.OHCProvider;X;
org.apache.cassandra.cache.OHCProvider$KeySerializer;X;
org.apache.cassandra.cache.OHCProvider$OHCacheAdapter;X;
org.apache.cassandra.cache.OHCProvider$ValueSerializer;X;
org.apache.cassandra.cache.RefCountedMemory;X;
org.apache.cassandra.cache.RowCacheKey;X;
org.apache.cassandra.cache.RowCacheSentinel;X;
org.apache.cassandra.cache.SerializingCache;X;
org.apache.cassandra.cache.SerializingCacheProvider;X;
org.apache.cassandra.cache.SerializingCacheProvider$RowCacheSerializer;X;
