Unit;ADR13;ADR14;ADR15;ADR16;Ocurrences;Class DeF
org.apache.cassandra.auth.AllowAllAuthenticator;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.AllowAllAuthenticator$Negotiator;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.auth.AllowAllAuthorizer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.AllowAllInternodeAuthenticator;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.auth.AuthCache;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.auth.AuthConfig;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.auth.AuthKeyspace;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.AuthMigrationListener;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.AuthenticatedUser;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.CassandraAuthorizer;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.auth.CassandraLoginModule;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.CassandraPrincipal;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.CassandraRoleManager;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.auth.CassandraRoleManager$Role;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.DataResource;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.auth.FunctionResource;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.auth.JMXResource;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.auth.PasswordAuthenticator;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.auth.PasswordAuthenticator$CredentialsCache;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.auth.PasswordAuthenticator$PlainTextSaslAuthenticator;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.PermissionDetails;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.PermissionsCache;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.auth.Resources;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.RoleOptions;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.RoleResource;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.auth.Roles;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.auth.RolesCache;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.auth.jmx.AuthenticationProxy;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.auth.jmx.AuthenticationProxy$JMXCallbackHandler;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.auth.jmx.AuthorizationProxy;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.auth.jmx.AuthorizationProxy$JMXPermissionsCache;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.batchlog.Batch;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.batchlog.Batch$Serializer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.batchlog.BatchRemoveVerbHandler;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.batchlog.BatchStoreVerbHandler;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.batchlog.BatchlogManager;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.batchlog.BatchlogManager$EndpointFilter;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch$ReplayWriteResponseHandler;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.batchlog.LegacyBatchlogMigrator;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.AutoSavingCache;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.AutoSavingCache$Writer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.CacheKey;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cache.ChunkCache;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cache.ChunkCache$Buffer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.ChunkCache$CachingRebufferer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.ChunkCache$Key;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.ConcurrentLinkedHashCache;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cache.CounterCacheKey;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.InstrumentingCache;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cache.KeyCacheKey;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.NopCacheProvider;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cache.NopCacheProvider$NopCache;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cache.OHCProvider;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.cache.OHCProvider$KeySerializer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.OHCProvider$OHCacheAdapter;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.cache.OHCProvider$ValueSerializer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.RefCountedMemory;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.RowCacheKey;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.cache.RowCacheSentinel;1.0;0.0;1.0;1.0;3.0;0.75
